year,level_1,level_2,level_3,value
2015,Females,10 - 14,"Clementi- Total",2220
2015,Females,10 - 14,"Downtown Core- Total",60
2015,Females,10 - 14,"Geylang- Total",2700
2015,Females,10 - 14,"Hougang- Total",5700
2015,Females,10 - 14,"Jurong East- Total",2200
2015,Females,10 - 14,"Jurong West- Total",8080
2015,Females,10 - 14,"Kallang- Total",2160
2015,Females,10 - 14,"Mandai- Total",80
2015,Females,10 - 14,"Marine Parade- Total",1350
2015,Females,10 - 14,"Museum- Total",10
2015,Females,10 - 14,"Newton- Total",160
2015,Females,10 - 14,"Novena- Total",1190
2015,Females,10 - 14,"Orchard- Total",20
2015,Females,10 - 14,"Outram- Total",350
2015,Females,10 - 14,"Pasir Ris- Total",4380
2015,Females,10 - 14,"Punggol- Total",3030
2015,Females,10 - 14,"Queenstown- Total",2170
2015,Females,10 - 14,"River Valley- Total",280
2015,Females,10 - 14,"Rochor- Total",310
2015,Females,10 - 14,"Seletar- Total",10
2015,Females,10 - 14,"Sembawang- Total",2590
2015,Females,10 - 14,"Sengkang- Total",6130
2015,Females,10 - 14,"Serangoon- Total",3000
2015,Females,10 - 14,"Singapore River- Total",70
2015,Females,10 - 14,"Southern Islands- Total",50
2015,Females,10 - 14,"Sungei Kadut- Total",20
2015,Females,10 - 14,"Tampines- Total",6800
2015,Females,10 - 14,"Tanglin- Total",600
2015,Females,10 - 14,"Toa Payoh- Total",2790
2015,Females,10 - 14,"Western Water Catchment- Total",30
2015,Females,10 - 14,"Woodlands- Total",8210
2015,Females,10 - 14,"Yishun- Total",5030
2015,Females,15 - 19,"Total",118620
2015,Females,15 - 19,"Ang Mo Kio- Total",4590
2015,Females,15 - 19,"Bedok- Total",8150
2015,Females,15 - 19,"Bishan- Total",2610
2015,Females,15 - 19,"Bukit Batok- Total",4550
2015,Females,15 - 19,"Bukit Merah- Total",3440
2015,Females,15 - 19,"Bukit Panjang- Total",4620
2015,Females,15 - 19,"Bukit Timah- Total",2550
2015,Females,15 - 19,"Changi- Total",70
2015,Females,15 - 19,"Choa Chu Kang- Total",7150
2015,Females,15 - 19,"Clementi- Total",2330
2015,Females,15 - 19,"Downtown Core- Total",60
2015,Females,15 - 19,"Geylang- Total",3110
2015,Females,15 - 19,"Hougang- Total",6990
2015,Females,15 - 19,"Jurong East- Total",2410
2015,Females,15 - 19,"Jurong West- Total",8830
2015,Females,15 - 19,"Kallang- Total",2330
2015,Females,15 - 19,"Mandai- Total",90
2015,Females,15 - 19,"Marine Parade- Total",1340
2015,Females,15 - 19,"Museum- Total",10
2015,Females,15 - 19,"Newton- Total",180
2015,Females,15 - 19,"Novena- Total",1270
2015,Females,15 - 19,"Orchard- Total",20
2015,Females,15 - 19,"Outram- Total",350
2015,Females,15 - 19,"Pasir Ris- Total",6000
2015,Females,15 - 19,"Punggol- Total",2120
2015,Females,15 - 19,"Queenstown- Total",2370
2015,Females,15 - 19,"River Valley- Total",230
2015,Females,15 - 19,"Rochor- Total",290
2015,Females,15 - 19,"Seletar- Total",10
2015,Females,15 - 19,"Sembawang- Total",2320
2015,Females,15 - 19,"Sengkang- Total",5730
2015,Females,15 - 19,"Serangoon- Total",3650
2015,Females,15 - 19,"Singapore River- Total",50
2015,Females,15 - 19,"Southern Islands- Total",60
2015,Females,15 - 19,"Sungei Kadut- Total",30
2015,Females,15 - 19,"Tampines- Total",8790
2015,Females,15 - 19,"Tanglin- Total",580
2015,Females,15 - 19,"Toa Payoh- Total",3190
2015,Females,15 - 19,"Western Water Catchment- Total",20
2015,Females,15 - 19,"Woodlands- Total",10210
2015,Females,15 - 19,"Yishun- Total",5920
2015,Females,20 - 24,"Total",130630
2015,Females,20 - 24,"Ang Mo Kio- Total",5180
2015,Females,20 - 24,"Bedok- Total",9630
2015,Females,20 - 24,"Bishan- Total",3280
2015,Females,20 - 24,"Bukit Batok- Total",5020
2015,Females,20 - 24,"Bukit Merah- Total",3870
2015,Females,20 - 24,"Bukit Panjang- Total",5050
2015,Females,20 - 24,"Bukit Timah- Total",2660
2015,Females,20 - 24,"Changi- Total",70
2015,Females,20 - 24,"Choa Chu Kang- Total",7420
2015,Females,20 - 24,"Clementi- Total",2430
2015,Females,20 - 24,"Downtown Core- Total",80
2015,Females,20 - 24,"Geylang- Total",3710
2015,Females,20 - 24,"Hougang- Total",8240
2015,Females,20 - 24,"Jurong East- Total",2770
2015,Females,20 - 24,"Jurong West- Total",9320
2015,Females,20 - 24,"Kallang- Total",2580
2015,Females,20 - 24,"Mandai- Total",90
2015,Females,20 - 24,"Marine Parade- Total",1390
2015,Females,20 - 24,"Museum- Total",10
2015,Females,20 - 24,"Newton- Total",220
2015,Females,20 - 24,"Novena- Total",1330
2015,Females,20 - 24,"Orchard- Total",20
2015,Females,20 - 24,"Outram- Total",430
2015,Females,20 - 24,"Pasir Ris- Total",6510
2015,Females,20 - 24,"Punggol- Total",2000
2015,Females,20 - 24,"Queenstown- Total",2740
2015,Females,20 - 24,"River Valley- Total",280
2015,Females,20 - 24,"Rochor- Total",390
2015,Females,20 - 24,"Seletar- Total",10
2015,Females,20 - 24,"Sembawang- Total",2200
2015,Females,20 - 24,"Sengkang- Total",5420
2015,Females,20 - 24,"Serangoon- Total",4500
2015,Females,20 - 24,"Singapore River- Total",50
2015,Females,20 - 24,"Southern Islands- Total",50
2015,Females,20 - 24,"Sungei Kadut- Total",20
2015,Females,20 - 24,"Tampines- Total",10410
2015,Females,20 - 24,"Tanglin- Total",530
2015,Females,20 - 24,"Toa Payoh- Total",3640
2015,Females,20 - 24,"Western Water Catchment- Total",110
2015,Females,20 - 24,"Woodlands- Total",9730
2015,Females,20 - 24,"Yishun- Total",7260
2015,Females,25 - 29,"Total",138530
2015,Females,25 - 29,"Ang Mo Kio- Total",5800
2015,Females,25 - 29,"Bedok- Total",9990
2015,Females,25 - 29,"Bishan- Total",3250
2015,Females,25 - 29,"Bukit Batok- Total",5240
2015,Females,25 - 29,"Bukit Merah- Total",4810
2015,Females,25 - 29,"Bukit Panjang- Total",5600
2015,Females,25 - 29,"Bukit Timah- Total",2340
2015,Females,25 - 29,"Changi- Total",60
2015,Females,25 - 29,"Choa Chu Kang- Total",5860
2015,Females,25 - 29,"Clementi- Total",3030
2015,Females,25 - 29,"Downtown Core- Total",110
2015,Females,25 - 29,"Geylang- Total",4040
2015,Females,25 - 29,"Hougang- Total",8290
2015,Females,25 - 29,"Jurong East- Total",3270
2015,Females,25 - 29,"Jurong West- Total",10100
2015,Females,25 - 29,"Kallang- Total",3150
2015,Females,25 - 29,"Mandai- Total",70
2015,Females,25 - 29,"Marine Parade- Total",1370
2015,Females,25 - 29,"Museum- Total",10
2015,Females,25 - 29,"Newton- Total",220
2015,Females,25 - 29,"Novena- Total",1410
2015,Females,25 - 29,"Orchard- Total",30
2015,Females,25 - 29,"Outram- Total",610
2015,Females,25 - 29,"Pasir Ris- Total",4480
2015,Females,25 - 29,"Punggol- Total",4060
2015,Females,25 - 29,"Queenstown- Total",3310
2015,Females,25 - 29,"River Valley- Total",290
2015,Females,25 - 29,"Rochor- Total",440
2015,Females,25 - 29,"Sembawang- Total",2600
2015,Females,25 - 29,"Sengkang- Total",7870
2015,Females,25 - 29,"Serangoon- Total",4490
2015,Females,25 - 29,"Singapore River- Total",60
2015,Females,25 - 29,"Southern Islands- Total",40
2015,Females,25 - 29,"Sungei Kadut- Total",20
2015,Females,25 - 29,"Tampines- Total",10120
2015,Females,25 - 29,"Tanglin- Total",500
2015,Females,25 - 29,"Toa Payoh- Total",3980
2015,Females,25 - 29,"Western Water Catchment- Total",50
2015,Females,25 - 29,"Woodlands- Total",8920
2015,Females,25 - 29,"Yishun- Total",8660
2015,Females,30 - 34,"Total",152770
2015,Females,30 - 34,"Ang Mo Kio- Total",6450
2015,Females,30 - 34,"Bedok- Total",10080
2015,Females,30 - 34,"Bishan- Total",3030
2015,Females,30 - 34,"Bukit Batok- Total",5120
2015,Females,30 - 34,"Bukit Merah- Total",5860
2015,Females,30 - 34,"Bukit Panjang- Total",5410
2015,Females,30 - 34,"Bukit Timah- Total",2090
2015,Females,30 - 34,"Changi- Total",100
2015,Females,30 - 34,"Choa Chu Kang- Total",6010
2015,Females,30 - 34,"Clementi- Total",3450
2015,Females,30 - 34,"Downtown Core- Total",160
2015,Females,30 - 34,"Geylang- Total",4230
2015,Females,30 - 34,"Hougang- Total",7770
2015,Females,30 - 34,"Jurong East- Total",3260
2015,Females,30 - 34,"Jurong West- Total",11870
2015,Females,30 - 34,"Kallang- Total",3880
2015,Females,30 - 34,"Mandai- Total",70
2015,Females,30 - 34,"Marine Parade- Total",1610
2015,Females,30 - 34,"Museum- Total",20
2015,Females,30 - 34,"Newton- Total",250
2015,Females,30 - 34,"Novena- Total",1680
2015,Females,30 - 34,"Orchard- Total",40
2015,Females,30 - 34,"Outram- Total",890
2015,Females,30 - 34,"Pasir Ris- Total",4110
2015,Females,30 - 34,"Punggol- Total",8560
2015,Females,30 - 34,"Queenstown- Total",3760
2015,Females,30 - 34,"River Valley- Total",390
2015,Females,30 - 34,"Rochor- Total",530
2015,Females,30 - 34,"Sembawang- Total",3440
2015,Females,30 - 34,"Sengkang- Total",11430
2015,Females,30 - 34,"Serangoon- Total",3900
2015,Females,30 - 34,"Singapore River- Total",170
2015,Females,30 - 34,"Southern Islands- Total",40
2015,Females,30 - 34,"Sungei Kadut- Total",20
2015,Females,30 - 34,"Tampines- Total",9730
2015,Females,30 - 34,"Tanglin- Total",690
2015,Females,30 - 34,"Toa Payoh- Total",4550
2015,Females,30 - 34,"Western Water Catchment- Total",30
2015,Females,30 - 34,"Woodlands- Total",9400
2015,Females,30 - 34,"Yishun- Total",8690
2015,Females,35 - 39,"Total",157270
2015,Females,35 - 39,"Ang Mo Kio- Total",6890
2015,Females,35 - 39,"Bedok- Total",11100
2015,Females,35 - 39,"Bishan- Total",3190
2015,Females,35 - 39,"Bukit Batok- Total",5230
2015,Females,35 - 39,"Bukit Merah- Total",6760
2015,Females,35 - 39,"Bukit Panjang- Total",5190
2015,Females,35 - 39,"Bukit Timah- Total",2770
2015,Females,35 - 39,"Changi- Total",130
2015,Females,35 - 39,"Choa Chu Kang- Total",6290
2015,Females,35 - 39,"Clementi- Total",3880
2015,Females,35 - 39,"Downtown Core- Total",190
2015,Females,35 - 39,"Geylang- Total",4540
2015,Females,35 - 39,"Hougang- Total",7860
2015,Females,35 - 39,"Jurong East- Total",3180
2015,Females,35 - 39,"Jurong West- Total",11750
2015,Females,35 - 39,"Kallang- Total",4280
2015,Females,35 - 39,"Mandai- Total",100
2015,Females,35 - 39,"Marine Parade- Total",2140
2015,Females,35 - 39,"Museum- Total",30
2015,Females,35 - 39,"Newton- Total",340
2015,Females,35 - 39,"Novena- Total",2200
2015,Females,35 - 39,"Orchard- Total",50
2015,Females,35 - 39,"Outram- Total",1100
2015,Females,35 - 39,"Pasir Ris- Total",4920
2015,Females,35 - 39,"Punggol- Total",6520
2015,Females,35 - 39,"Queenstown- Total",4130
2015,Females,35 - 39,"River Valley- Total",490
2015,Females,35 - 39,"Rochor- Total",620
2015,Females,35 - 39,"Seletar- Total",10
2015,Females,35 - 39,"Sembawang- Total",3810
2015,Females,35 - 39,"Sengkang- Total",10820
2015,Females,35 - 39,"Serangoon- Total",3970
2015,Females,35 - 39,"Singapore River- Total",180
2015,Females,35 - 39,"Southern Islands- Total",60
2015,Females,35 - 39,"Sungei Kadut- Total",20
2015,Females,35 - 39,"Tampines- Total",9270
2015,Females,35 - 39,"Tanglin- Total",910
2015,Females,35 - 39,"Toa Payoh- Total",4780
2015,Females,35 - 39,"Western Water Catchment- Total",40
2015,Females,35 - 39,"Woodlands- Total",9680
2015,Females,35 - 39,"Yishun- Total",7880
2015,Females,40 - 44,"Total",162300
2015,Females,40 - 44,"Ang Mo Kio- Total",7100
2015,Females,40 - 44,"Bedok- Total",11660
2015,Females,40 - 44,"Bishan- Total",3750
2015,Females,40 - 44,"Bukit Batok- Total",5680
2015,Females,40 - 44,"Bukit Merah- Total",6470
2015,Females,40 - 44,"Bukit Panjang- Total",5770
2015,Females,40 - 44,"Bukit Timah- Total",3580
2015,Females,40 - 44,"Changi- Total",140
2015,Females,40 - 44,"Choa Chu Kang- Total",7280
2015,Females,40 - 44,"Clementi- Total",3940
2015,Females,40 - 44,"Downtown Core- Total",170
2015,Females,40 - 44,"Geylang- Total",4540
2015,Females,40 - 44,"Hougang- Total",8590
2015,Females,40 - 44,"Jurong East- Total",3330
2015,Females,40 - 44,"Jurong West- Total",11270
2015,Females,40 - 44,"Kallang- Total",4320
2015,Females,40 - 44,"Mandai- Total",100
2015,Females,40 - 44,"Marine Parade- Total",2430
2015,Females,40 - 44,"Museum- Total",20
2015,Females,40 - 44,"Newton- Total",400
2015,Females,40 - 44,"Novena- Total",2310
2015,Females,40 - 44,"Orchard- Total",50
2015,Females,40 - 44,"Outram- Total",800
2015,Females,40 - 44,"Pasir Ris- Total",5420
2015,Females,40 - 44,"Punggol- Total",4980
2015,Females,40 - 44,"Queenstown- Total",4070
2015,Females,40 - 44,"River Valley- Total",550
2015,Females,40 - 44,"Rochor- Total",580
2015,Females,40 - 44,"Seletar- Total",20
2015,Females,40 - 44,"Sembawang- Total",3940
2015,Females,40 - 44,"Sengkang- Total",9450
2015,Females,40 - 44,"Serangoon- Total",4560
2015,Females,40 - 44,"Singapore River- Total",210
2015,Females,40 - 44,"Southern Islands- Total",90
2015,Females,40 - 44,"Sungei Kadut- Total",20
2015,Females,40 - 44,"Tampines- Total",9580
2015,Females,40 - 44,"Tanglin- Total",1070
2015,Females,40 - 44,"Toa Payoh- Total",5280
2015,Females,40 - 44,"Western Water Catchment- Total",50
2015,Females,40 - 44,"Woodlands- Total",11110
2015,Females,40 - 44,"Yishun- Total",7630
2015,Females,45 - 49,"Total",153810
2015,Females,45 - 49,"Ang Mo Kio- Total",6660
2015,Females,45 - 49,"Bedok- Total",10860
2015,Females,45 - 49,"Bishan- Total",3590
2015,Females,45 - 49,"Bukit Batok- Total",5720
2015,Females,45 - 49,"Bukit Merah- Total",5540
2015,Females,45 - 49,"Bukit Panjang- Total",5310
2015,Females,45 - 49,"Bukit Timah- Total",3290
2015,Females,45 - 49,"Changi- Total",100
2015,Females,45 - 49,"Choa Chu Kang- Total",8300
2015,Females,45 - 49,"Clementi- Total",3560
2015,Females,45 - 49,"Downtown Core- Total",150
2015,Females,45 - 49,"Geylang- Total",4350
2015,Females,45 - 49,"Hougang- Total",8830
2015,Females,45 - 49,"Jurong East- Total",3080
2015,Females,45 - 49,"Jurong West- Total",10500
2015,Females,45 - 49,"Kallang- Total",3740
2015,Females,45 - 49,"Mandai- Total",100
2015,Females,45 - 49,"Marine Parade- Total",1920
2015,Females,45 - 49,"Museum- Total",20
2015,Females,45 - 49,"Newton- Total",330
2015,Females,45 - 49,"Novena- Total",1960
2015,Females,45 - 49,"Orchard- Total",40
2015,Females,45 - 49,"Outram- Total",710
2015,Females,45 - 49,"Pasir Ris- Total",7190
2015,Females,45 - 49,"Punggol- Total",3050
2015,Females,45 - 49,"Queenstown- Total",3970
2015,Females,45 - 49,"River Valley- Total",420
2015,Females,45 - 49,"Rochor- Total",500
2015,Females,45 - 49,"Seletar- Total",20
2015,Females,45 - 49,"Sembawang- Total",2960
2015,Females,45 - 49,"Sengkang- Total",7030
2015,Females,45 - 49,"Serangoon- Total",4690
2015,Females,45 - 49,"Singapore River- Total",120
2015,Females,45 - 49,"Southern Islands- Total",100
2015,Females,45 - 49,"Sungei Kadut- Total",30
2015,Females,45 - 49,"Tampines- Total",10580
2015,Females,45 - 49,"Tanglin- Total",920
2015,Females,45 - 49,"Toa Payoh- Total",4830
2015,Females,45 - 49,"Western Water Catchment- Total",30
2015,Females,45 - 49,"Woodlands- Total",11120
2015,Females,45 - 49,"Yishun- Total",7600
2015,Females,50 - 54,"Total",156630
2015,Females,50 - 54,"Ang Mo Kio- Total",7010
2015,Females,50 - 54,"Bedok- Total",11870
2015,Females,50 - 54,"Bishan- Total",4070
2015,Females,50 - 54,"Bukit Batok- Total",6180
2015,Females,50 - 54,"Bukit Merah- Total",5530
2015,Females,50 - 54,"Bukit Panjang- Total",5880
2015,Females,50 - 54,"Bukit Timah- Total",3060
2015,Females,50 - 54,"Changi- Total",60
2015,Females,50 - 54,"Choa Chu Kang- Total",7830
2015,Females,50 - 54,"Clementi- Total",3480
2015,Females,50 - 54,"Downtown Core- Total",120
2015,Females,50 - 54,"Geylang- Total",4620
2015,Females,50 - 54,"Hougang- Total",9830
2015,Females,50 - 54,"Jurong East- Total",3360
2015,Females,50 - 54,"Jurong West- Total",9730
2015,Females,50 - 54,"Kallang- Total",3690
2015,Females,50 - 54,"Mandai- Total",80
2015,Females,50 - 54,"Marine Parade- Total",1910
2015,Females,50 - 54,"Museum- Total",20
2015,Females,50 - 54,"Newton- Total",310
2015,Females,50 - 54,"Novena- Total",1850
2015,Females,50 - 54,"Orchard- Total",30
2015,Females,50 - 54,"Outram- Total",680
2015,Females,50 - 54,"Pasir Ris- Total",6830
2015,Females,50 - 54,"Punggol- Total",2650
2015,Females,50 - 54,"Queenstown- Total",3730
2015,Females,50 - 54,"River Valley- Total",330
2015,Females,50 - 54,"Rochor- Total",480
2015,Females,50 - 54,"Seletar- Total",20
2015,Females,50 - 54,"Sembawang- Total",2740
2015,Females,50 - 54,"Sengkang- Total",6740
2015,Females,50 - 54,"Serangoon- Total",5350
2015,Females,50 - 54,"Singapore River- Total",80
2015,Females,50 - 54,"Southern Islands- Total",70
2015,Females,50 - 54,"Sungei Kadut- Total",30
2015,Females,50 - 54,"Tampines- Total",11910
2015,Females,50 - 54,"Tanglin- Total",760
2015,Females,50 - 54,"Toa Payoh- Total",4930
2015,Females,50 - 54,"Western Water Catchment- Total",30
2015,Females,50 - 54,"Woodlands- Total",10000
2015,Females,50 - 54,"Yishun- Total",8780
2015,Females,55 - 59,"Total",147200
2015,Females,55 - 59,"Ang Mo Kio- Total",7120
2015,Females,55 - 59,"Bedok- Total",11880
2015,Females,55 - 59,"Bishan- Total",3960
2015,Females,55 - 59,"Bukit Batok- Total",5850
2015,Females,55 - 59,"Bukit Merah- Total",5780
2015,Females,55 - 59,"Bukit Panjang- Total",5150
2015,Females,55 - 59,"Bukit Timah- Total",2780
2015,Females,55 - 59,"Changi- Total",50
2015,Females,55 - 59,"Choa Chu Kang- Total",6070
2015,Females,55 - 59,"Clementi- Total",3520
2015,Females,55 - 59,"Downtown Core- Total",130
2015,Females,55 - 59,"Geylang- Total",4620
2015,Females,55 - 59,"Hougang- Total",9550
2015,Females,55 - 59,"Jurong East- Total",3570
2015,Females,55 - 59,"Jurong West- Total",9350
2015,Females,55 - 59,"Kallang- Total",3680
2015,Females,55 - 59,"Mandai- Total",70
2015,Females,55 - 59,"Marine Parade- Total",1690
2015,Females,55 - 59,"Museum- Total",10
2015,Females,55 - 59,"Newton- Total",240
2015,Females,55 - 59,"Novena- Total",1680
2015,Females,55 - 59,"Orchard- Total",40
2015,Females,55 - 59,"Outram- Total",740
2015,Females,55 - 59,"Pasir Ris- Total",5020
2015,Females,55 - 59,"Punggol- Total",2450
2015,Females,55 - 59,"Queenstown- Total",3530
2015,Females,55 - 59,"River Valley- Total",310
2015,Females,55 - 59,"Rochor- Total",520
2015,Females,55 - 59,"Seletar- Total",10
2015,Females,55 - 59,"Sembawang- Total",2420
2015,Females,55 - 59,"Sengkang- Total",6350
2015,Females,55 - 59,"Serangoon- Total",5610
2015,Females,55 - 59,"Singapore River- Total",70
2015,Females,55 - 59,"Southern Islands- Total",40
2015,Females,55 - 59,"Sungei Kadut- Total",30
2015,Females,55 - 59,"Tampines- Total",11530
2015,Females,55 - 59,"Tanglin- Total",660
2015,Females,55 - 59,"Toa Payoh- Total",4990
2015,Females,55 - 59,"Western Water Catchment- Total",20
2015,Females,55 - 59,"Woodlands- Total",8010
2015,Females,55 - 59,"Yishun- Total",8090
2015,Females,60 - 64,"Total",120830
2015,Females,60 - 64,"Ang Mo Kio- Total",6940
2015,Females,60 - 64,"Bedok- Total",10570
2015,Females,60 - 64,"Bishan- Total",3230
2015,Females,60 - 64,"Bukit Batok- Total",4610
2015,Females,60 - 64,"Bukit Merah- Total",5700
2015,Females,60 - 64,"Bukit Panjang- Total",3860
2015,Females,60 - 64,"Bukit Timah- Total",2340
2015,Females,60 - 64,"Changi- Total",40
2015,Females,60 - 64,"Choa Chu Kang- Total",4180
2015,Females,60 - 64,"Clementi- Total",3740
2015,Females,60 - 64,"Downtown Core- Total",140
2015,Females,60 - 64,"Geylang- Total",3980
2015,Females,60 - 64,"Hougang- Total",7390
2015,Females,60 - 64,"Jurong East- Total",3190
2015,Females,60 - 64,"Jurong West- Total",7820
2015,Females,60 - 64,"Kallang- Total",3450
2015,Females,60 - 64,"Mandai- Total",40
2015,Females,60 - 64,"Marine Parade- Total",1550
2015,Females,60 - 64,"Museum- Total",10
2015,Females,60 - 64,"Newton- Total",200
2015,Females,60 - 64,"Novena- Total",1490
2015,Females,60 - 64,"Orchard- Total",30
2015,Females,60 - 64,"Outram- Total",750
2015,Females,60 - 64,"Pasir Ris- Total",3330
2015,Females,60 - 64,"Punggol- Total",2130
2015,Females,60 - 64,"Queenstown- Total",3300
2015,Females,60 - 64,"River Valley- Total",250
2015,Females,60 - 64,"Rochor- Total",550
2015,Females,60 - 64,"Seletar- Total",10
2015,Females,60 - 64,"Sembawang- Total",1680
2015,Females,60 - 64,"Sengkang- Total",4660
2015,Females,60 - 64,"Serangoon- Total",4620
2015,Females,60 - 64,"Singapore River- Total",50
2015,Females,60 - 64,"Southern Islands- Total",30
2015,Females,60 - 64,"Sungei Kadut- Total",20
2015,Females,60 - 64,"Tampines- Total",8500
2015,Females,60 - 64,"Tanglin- Total",590
2015,Females,60 - 64,"Toa Payoh- Total",4290
2015,Females,60 - 64,"Western Water Catchment- Total",10
2015,Females,60 - 64,"Woodlands- Total",5530
2015,Females,60 - 64,"Yishun- Total",6060
2015,Females,65 - 69,"Total",93730
2015,Females,65 - 69,"Ang Mo Kio- Total",5810
2015,Females,65 - 69,"Bedok- Total",8570
2015,Females,65 - 69,"Bishan- Total",2520
2015,Females,65 - 69,"Bukit Batok- Total",2980
2015,Females,65 - 69,"Bukit Merah- Total",5440
2015,Females,65 - 69,"Bukit Panjang- Total",2560
2015,Females,65 - 69,"Bukit Timah- Total",2010
2015,Females,65 - 69,"Changi- Total",40
2015,Females,65 - 69,"Choa Chu Kang- Total",2810
2015,Females,65 - 69,"Clementi- Total",3300
2015,Females,65 - 69,"Downtown Core- Total",120
2015,Females,65 - 69,"Geylang- Total",3330
2015,Females,65 - 69,"Hougang- Total",5410
2015,Females,65 - 69,"Jurong East- Total",2380
2015,Females,65 - 69,"Jurong West- Total",5210
2015,Females,65 - 69,"Kallang- Total",3070
2015,Females,65 - 69,"Mandai- Total",40
2015,Females,65 - 69,"Marine Parade- Total",1510
2015,Females,65 - 69,"Newton- Total",180
2015,Females,65 - 69,"Novena- Total",1300
2015,Females,65 - 69,"Orchard- Total",40
2015,Females,65 - 69,"Outram- Total",710
2015,Females,65 - 69,"Pasir Ris- Total",2250
2015,Females,65 - 69,"Punggol- Total",1600
2015,Females,65 - 69,"Queenstown- Total",3330
2015,Females,65 - 69,"River Valley- Total",240
2015,Females,65 - 69,"Rochor- Total",490
2015,Females,65 - 69,"Sembawang- Total",1140
2015,Females,65 - 69,"Sengkang- Total",3350
2015,Females,65 - 69,"Serangoon- Total",3520
2015,Females,65 - 69,"Singapore River- Total",40
2015,Females,65 - 69,"Southern Islands- Total",20
2015,Females,65 - 69,"Sungei Kadut- Total",30
2015,Females,65 - 69,"Tampines- Total",5720
2015,Females,65 - 69,"Tanglin- Total",470
2015,Females,65 - 69,"Toa Payoh- Total",4070
2015,Females,65 - 69,"Woodlands- Total",3880
2015,Females,65 - 69,"Yishun- Total",4260
2015,Females,70 - 74,"Total",54850
2015,Females,70 - 74,"Ang Mo Kio- Total",3600
2015,Females,70 - 74,"Bedok- Total",4880
2015,Females,70 - 74,"Bishan- Total",1460
2015,Females,70 - 74,"Bukit Batok- Total",1600
2015,Females,70 - 74,"Bukit Merah- Total",3580
2015,Females,70 - 74,"Bukit Panjang- Total",1460
2015,Females,70 - 74,"Bukit Timah- Total",1240
2015,Females,70 - 74,"Changi- Total",30
2015,Females,70 - 74,"Choa Chu Kang- Total",1600
2015,Females,70 - 74,"Clementi- Total",1740
2015,Females,70 - 74,"Downtown Core- Total",80
2015,Females,70 - 74,"Geylang- Total",2050
2015,Females,70 - 74,"Hougang- Total",3150
2015,Females,70 - 74,"Jurong East- Total",1170
2015,Females,70 - 74,"Jurong West- Total",2710
2015,Females,70 - 74,"Kallang- Total",2030
2015,Females,70 - 74,"Mandai- Total",30
2015,Females,70 - 74,"Marine Parade- Total",990
2015,Females,70 - 74,"Newton- Total",90
2015,Females,70 - 74,"Novena- Total",840
2015,Females,70 - 74,"Orchard- Total",10
2015,Females,70 - 74,"Outram- Total",460
2015,Females,70 - 74,"Pasir Ris- Total",1300
2015,Females,70 - 74,"Punggol- Total",860
2015,Females,70 - 74,"Queenstown- Total",2310
2015,Females,70 - 74,"River Valley- Total",140
2015,Females,70 - 74,"Rochor- Total",320
2015,Females,70 - 74,"Sembawang- Total",720
2015,Females,70 - 74,"Sengkang- Total",1790
2015,Females,70 - 74,"Serangoon- Total",1990
2015,Females,70 - 74,"Singapore River- Total",20
2015,Females,70 - 74,"Southern Islands- Total",10
2015,Females,70 - 74,"Sungei Kadut- Total",20
2015,Females,70 - 74,"Tampines- Total",2970
2015,Females,70 - 74,"Tanglin- Total",270
2015,Females,70 - 74,"Toa Payoh- Total",2830
2015,Females,70 - 74,"Western Water Catchment- Total",10
2015,Females,70 - 74,"Woodlands- Total",2190
2015,Females,70 - 74,"Yishun- Total",2320
2015,Females,75 - 79,"Total",45090
2015,Females,75 - 79,"Ang Mo Kio- Total",2800
2015,Females,75 - 79,"Bedok- Total",4060
2015,Females,75 - 79,"Bishan- Total",1180
2015,Females,75 - 79,"Bukit Batok- Total",1170
2015,Females,75 - 79,"Bukit Merah- Total",3110
2015,Females,75 - 79,"Bukit Panjang- Total",1120
2015,Females,75 - 79,"Bukit Timah- Total",1030
2015,Females,75 - 79,"Changi- Total",10
2015,Females,75 - 79,"Choa Chu Kang- Total",1240
2015,Females,75 - 79,"Clementi- Total",1380
2015,Females,75 - 79,"Downtown Core- Total",80
2015,Females,75 - 79,"Geylang- Total",1840
2015,Females,75 - 79,"Hougang- Total",2570
2015,Females,75 - 79,"Jurong East- Total",930
2015,Females,75 - 79,"Jurong West- Total",1870
2015,Females,75 - 79,"Kallang- Total",1810
2015,Females,75 - 79,"Mandai- Total",20
2015,Females,75 - 79,"Marine Parade- Total",930
2015,Females,75 - 79,"Newton- Total",90
2015,Females,75 - 79,"Novena- Total",790
2015,Females,75 - 79,"Orchard- Total",10
2015,Females,75 - 79,"Outram- Total",450
2015,Females,75 - 79,"Pasir Ris- Total",1100
2015,Females,75 - 79,"Punggol- Total",580
2015,Females,75 - 79,"Queenstown- Total",2150
2015,Females,75 - 79,"River Valley- Total",100
2015,Females,75 - 79,"Rochor- Total",280
2015,Females,75 - 79,"Sembawang- Total",530
2015,Females,75 - 79,"Sengkang- Total",1390
2015,Females,75 - 79,"Serangoon- Total",1680
2015,Females,75 - 79,"Singapore River- Total",20
2015,Females,75 - 79,"Southern Islands- Total",10
2015,Females,75 - 79,"Sungei Kadut- Total",20
2015,Females,75 - 79,"Tampines- Total",2480
2015,Females,75 - 79,"Tanglin- Total",210
2015,Females,75 - 79,"Toa Payoh- Total",2600
2015,Females,75 - 79,"Woodlands- Total",1710
