year,level_1,level_2,level_3,value
2015,Total,55 - 59,"Jurong East- Total",7020
2015,Total,55 - 59,"Jurong West- Total",19100
2015,Total,55 - 59,"Kallang- Total",7840
2015,Total,55 - 59,"Mandai- Total",140
2015,Total,55 - 59,"Marine Parade- Total",3370
2015,Total,55 - 59,"Museum- Total",20
2015,Total,55 - 59,"Newton- Total",470
2015,Total,55 - 59,"Novena- Total",3360
2015,Total,55 - 59,"Orchard- Total",80
2015,Total,55 - 59,"Outram- Total",1650
2015,Total,55 - 59,"Pasir Ris- Total",10480
2015,Total,55 - 59,"Punggol- Total",4730
2015,Total,55 - 59,"Queenstown- Total",6730
2015,Total,55 - 59,"River Valley- Total",620
2015,Total,55 - 59,"Rochor- Total",1130
2015,Total,55 - 59,"Seletar- Total",20
2015,Total,55 - 59,"Sembawang- Total",4890
2015,Total,55 - 59,"Sengkang- Total",12640
2015,Total,55 - 59,"Serangoon- Total",10780
2015,Total,55 - 59,"Singapore River- Total",140
2015,Total,55 - 59,"Southern Islands- Total",110
2015,Total,55 - 59,"Sungei Kadut- Total",70
2015,Total,55 - 59,"Tampines- Total",22490
2015,Total,55 - 59,"Tanglin- Total",1260
2015,Total,55 - 59,"Toa Payoh- Total",9910
2015,Total,55 - 59,"Western Water Catchment- Total",60
2015,Total,55 - 59,"Woodlands- Total",16810
2015,Total,55 - 59,"Yishun- Total",15950
2015,Total,60 - 64,"Total",240490
2015,Total,60 - 64,"Ang Mo Kio- Total",12980
2015,Total,60 - 64,"Bedok- Total",20590
2015,Total,60 - 64,"Bishan- Total",6360
2015,Total,60 - 64,"Bukit Batok- Total",9370
2015,Total,60 - 64,"Bukit Merah- Total",10920
2015,Total,60 - 64,"Bukit Panjang- Total",7880
2015,Total,60 - 64,"Bukit Timah- Total",4550
2015,Total,60 - 64,"Changi- Total",90
2015,Total,60 - 64,"Choa Chu Kang- Total",8830
2015,Total,60 - 64,"Clementi- Total",6630
2015,Total,60 - 64,"Downtown Core- Total",250
2015,Total,60 - 64,"Geylang- Total",8070
2015,Total,60 - 64,"Hougang- Total",15060
2015,Total,60 - 64,"Jurong East- Total",6420
2015,Total,60 - 64,"Jurong West- Total",15870
